Question,Answer
هل تقدمون استشارات طبية وقائية؟,نعم، يمكنك حجز استشارة لطلب نصائح حول الوقاية من الأمراض وتعزيز الصحة العامة.
هل يمكنني معرفة التكاليف قبل حجز الاستشارة؟,نعم، جميع تكاليف الاستشارات والباقات معروضة بوضوح قبل إتمام عملية الحجز والدفع.
هل توفرون خدمات الرعاية الصحية المنزلية؟,حالياً، خدماتنا تركز على الرعاية الصحية عن بعد، ولا نوفر زيارات منزلية مباشرة.
هل يمكنني التواصل مع الطبيب بعد انتهاء الاستشارة؟,يمكن التواصل مع الطبيب للمتابعة ضمن استشارة جديدة، أو للاستفسارات القصيرة عبر خاصية الرسائل إن كانت متاحة في باقتك.
هل توفرون خدمات متابعة بعد العمليات الجراحية؟,نعم، يمكن حجز استشارات متابعة مع الأطباء لمراقبة التعافي بعد العمليات الجراحية.
هل يتم تحديث ملفي الطبي تلقائياً بعد كل استشارة؟,نعم، يتم تحديث سجلك الطبي إلكترونيًا بعد كل استشارة ليعكس أحدث المعلومات.
هل يمكنني الحصول على وصفة طبية للأمراض المزمنة بشكل منتظم؟,نعم، بعد التقييم الأولي، يمكن للطبيب وصف الأدوية المزمنة وتجديدها بشكل دوري حسب الحاجة.
هل هناك حد أدنى للعمر لاستخدام الخدمة؟,يجب أن يكون المستخدم بالغًا (18 عامًا فما فوق) أو أن يتم حجز الخدمة له من قبل ولي أمره الشرعي.
هل الشفاء الرقمية تخدم القطاع الحكومي؟,خدماتنا متاحة للأفراد والقطاع الخاص حالياً، وقد ندرس التوسع للقطاع الحكومي مستقبلاً.
هل لديكم شراكات مع مستشفيات أو مراكز طبية؟,نعمل على بناء شراكات مع مستشفيات ومختبرات لتوسيع نطاق الخدمات المقدمة للمستخدمين.
هل يمكنني الدفع باستخدام نقاط برامج الولاء؟,حالياً لا ندعم الدفع بنقاط برامج الولاء، ولكننا نعمل على إضافة المزيد من خيارات الدفع.
هل يمكنني الحصول على استشارة بلغة غير العربية أو الإنجليزية؟,في الوقت الحالي، معظم أطبائنا يقدمون الاستشارات باللغتين العربية والإنجليزية.
هل توفرون برامج توعية صحية للمجتمع؟,نعم، ننشر بانتظام مقالات ومقاطع فيديو توعوية حول الصحة والوقاية من الأمراض.
هل يمكنني الاستفادة من الخدمات إذا كنت مقيمًا خارج الرياض؟,نعم، خدماتنا الرقمية متاحة من أي مكان داخل المملكة العربية السعودية.
هل يمكنني إلغاء حسابي بالكامل؟,نعم، يمكنك طلب إلغاء حسابك بالكامل، مع مراعاة سياسة الاحتفاظ بالبيانات للأغراض القانونية.
هل أستطيع الحصول على فاتورة إلكترونية بعد كل خدمة؟,نعم، سيتم إرسال فاتورة إلكترونية مفصلة إلى بريدك الإلكتروني بعد كل خدمة.
ما هي الإجراءات المتخذة لحماية حسابي من الاختراق؟,نستخدم مصادقة متعددة العوامل (MFA) وتشفير البيانات وإجراءات أمنية مشددة لحماية حسابك.
هل توفرون استشارات تغذوية؟,نعم، لدينا أخصائيو تغذية لتقديم استشارات حول النظام الغذائي الصحي وإدارة الوزن.
هل يمكنني الحصول على نصائح للتعامل مع الإجهاد؟,نعم، يقدم أخصائيونا النفسيون استشارات حول إدارة الإجهاد والصحة النفسية العامة.
هل يمكنني الحصول على استشارة بخصوص الأعراض غير المحددة؟,نعم، يمكن للطبيب العام تقييم الأعراض غير المحددة وتوجيهك إلى التخصص المناسب إذا لزم الأمر.
هل تتوفر خدمة حجز المواعيد على مدار 24 ساعة؟,نعم، نظام حجز المواعيد متاح على مدار 24 ساعة، ولكن الاستشارات نفسها تكون خلال ساعات العمل المحددة.
هل توفرون خدمة الدعم عبر الواتساب؟,نعم، قد نوفر خدمة الدعم عبر الواتساب لبعض الاستفسارات السريعة. يرجى مراجعة موقعنا لمعرفة الرقم.
هل يمكنني الدفع بالتقسيط؟,حالياً، لا نوفر خيار الدفع بالتقسيط، ولكن قد نضيفه مستقبلاً.
هل توفرون خصومات للطلاب أو كبار السن؟,قد نقدم خصومات وعروض خاصة لفئات معينة من وقت لآخر، يرجى متابعة إعلاناتنا.
هل يمكنني الحصول على استشارة جماعية للعائلة؟,حالياً، الاستشارات فردية لكل مريض، ولكن يمكنك حجز مواعيد متعددة لأفراد العائلة.
ما هي مدة صلاحية الوصفة الطبية الإلكترونية؟,تحدد مدة صلاحية الوصفة الطبية الإلكترونية وفقًا للوائح وزارة الصحة ونوع الدواء.
هل يمكنني إعادة تفعيل حسابي بعد إلغائه؟,نعم، في معظم الحالات يمكنك إعادة تفعيل حسابك عن طريق تسجيل الدخول أو التواصل مع الدعم الفني.
هل تتوفر خدمة الإشعارات عند توفر أطباء جدد؟,نعم، يمكنك الاشتراك في قائمة التنبيهات لتلقي إشعارات حول الأطباء الجدد والخدمات المضافة.
هل يمكنني تقديم ملاحظات أو اقتراحات لتحسين الخدمة؟,نعم، نشجع بشدة تقديم الملاحظات والاقتراحات، فهي تساعدنا على تحسين خدماتنا باستمرار.
ما هي سياسة التعامل مع الأخطاء الطبية؟,نتبع أعلى معايير الجودة لتقليل الأخطاء، وفي حال حدوث أي خطأ، يتم التعامل معه وفقًا للإجراءات الطبية والقانونية المتبعة.
هل توفرون استشارات طارئة لمشكلات بسيطة؟,لا، لا نقدم استشارات طارئة. في حال وجود مشكلة بسيطة، يمكنك حجز استشارة فورية إذا كانت متاحة.
هل يمكنني معرفة التخصصات الطبية المتوفرة؟,يمكنك تصفح قسم الأطباء على موقعنا لمعرفة جميع التخصصات المتاحة.
هل الشفاء الرقمية تقدم خدمات التأمين الصحي؟,حالياً لا نتعامل مباشرة مع شركات التأمين، ولكن نعمل على إقامة شراكات مستقبلية.
هل يمكنني استخدام بطاقة تأميني للدفع؟,حالياً، لا، الدفع يتم بشكل مباشر من المستخدم.
هل يمكنني الاحتفاظ بسجل المكالمات مع الطبيب؟,لا يتم تسجيل المكالمات الصوتية أو المرئية بشكل افتراضي لحماية الخصوصية، ولكن يمكن الحصول على ملخص مكتوب للاستشارة.
هل يمكنني تغيير طبيبي المعالج؟,نعم، يمكنك اختيار طبيب آخر في أي وقت ترغب فيه.
هل هناك تطبيق للهواتف الذكية للوصول إلى الخدمات؟,نعم، يمكنك تنزيل تطبيق الشفاء الرقمية المتوفر على متاجر التطبيقات الرئيسية.
هل يمكنني إرسال تقارير طبية من عيادة أخرى؟,نعم، يمكنك تحميل أي تقارير طبية سابقة أو حالية من أي مصدر لمراجعتها من قبل أطبائنا.
هل توفرون استشارات للصحة الإنجابية؟,نعم، لدينا أطباء متخصصون في أمراض النساء والولادة لتقديم استشارات الصحة الإنجابية.
هل يمكنني الحصول على وصفة طبية لإعادة تعبئة دواء مزمن؟,نعم، إذا كان الطبيب يرى ذلك مناسبًا لحالتك، يمكنه تجديد وصفة الدواء المزمن.
هل لديكم برنامج ولاء للعملاء الدائمين؟,قد نقدم برامج ولاء أو خصومات خاصة للعملاء الدائمين، يرجى متابعة إعلاناتنا.
هل يمكنني الاشتراك في النشرة الإخبارية لتلقي التحديثات؟,نعم، يمكنك الاشتراك في النشرة الإخبارية عبر موقعنا الإلكتروني لتلقي آخر الأخبار والعروض.
هل بياناتي آمنة إذا قمت بالدفع عبر Apple Pay/STC Pay؟,نعم، هذه الطرق للدفع آمنة للغاية وتستخدم بروتوكولات تشفير قوية لحماية معلوماتك المالية.
هل يتم تخزين معلومات بطاقتي الائتمانية؟,لا، نحن لا نخزن معلومات بطاقتك الائتمانية بشكل مباشر. يتم التعامل معها عبر بوابات دفع آمنة ومعتمدة.
هل يمكنني التواصل مع خدمة العملاء خارج أوقات العمل؟,الدردشة المباشرة متوفرة 24/7، أما الدعم الهاتفي والبريد الإلكتروني فيكون خلال ساعات العمل المحددة.
هل يمكنني الحصول على مشورة بخصوص اللقاحات؟,نعم، يمكن لأطبائنا تقديم مشورة حول اللقاحات الموصى بها والجدول الزمني لها.
هل تقدمون خدمات استشارية للصحة الجنسية؟,نعم، يمكن لأطبائنا تقديم استشارات سرية حول قضايا الصحة الجنسية.
هل يمكنني تحديد جنس الطبيب الذي أرغب في استشارته؟,نعم، يمكنك تحديد تفضيلاتك (ذكر/أنثى) عند حجز الموعد إذا كانت الخيارات متاحة.
هل أستطيع الحصول على تقارير دورية عن صحتي؟,نعم، يتم تحديث سجلك الطبي بشكل مستمر ويمكنك طلب ملخصات دورية لحالتك الصحية.
هل الخدمات متاحة للأشخاص ذوي الإعاقة؟,نسعى لتوفير منصة سهلة الاستخدام لجميع الأفراد، ونرحب بالملاحظات لتحسين تجربة المستخدمين ذوي الإعاقة.
هل يمكنني إعادة جدولة موعد الصيدلية والتوصيل؟,يرجى التواصل مع الدعم الفني لمناقشة إمكانية إعادة جدولة توصيل الأدوية.
هل توفرون أجهزة طبية للمراقبة المنزلية؟,حالياً لا نوفر أجهزة طبية مباشرة، ولكن قد نوجهك لأماكن توفيرها.
هل يمكنني تزويد الطبيب بمعلومات عن تاريخي العائلي؟,نعم، يوصى بشدة بتزويد الطبيب بمعلومات شاملة عن تاريخك الصحي والعائلي لتقديم أفضل رعاية.
هل جميع الاستشارات سرية ومحمية؟,نعم، جميع الاستشارات سرية ومحمية بموجب سياسات الخصوصية ومعايير الأمان لدينا.
هل يمكنني الحصول على شهادة لياقة طبية؟,يعتمد ذلك على الغرض من الشهادة وتتطلب تقييماً طبياً مباشراً لا يتوفر عن بعد في كل الحالات.
هل الشفاء الرقمية بديلاً للذهاب إلى المستشفى؟,لا، الشفاء الرقمية ليست بديلاً للمستشفى في حالات الطوارئ أو الحالات التي تتطلب فحصاً جسدياً.
هل يمكنني تصفح تقييمات الأطباء قبل الاختيار؟,نعم، يمكنك الاطلاع على تقييمات وتعليقات المرضى السابقين عن الأطباء.
هل توفرون برامج إدارة الوزن؟,نعم، يمكن لأخصائيي التغذية تقديم برامج مخصصة لإدارة الوزن.
هل يمكنني الحصول على نصائح للوقاية من الأمراض المزمنة؟,نعم، يقدم أطباؤنا نصائح وإرشادات حول الوقاية من الأمراض المزمنة مثل السكري وارتفاع الضغط.
هل توفرون فحصاً طبياً شاملاً عن بعد؟,لا، لا يمكن إجراء فحص جسدي شامل عن بعد. خدماتنا تعتمد على الاستشارات والتقييم بناءً على المعلومات المقدمة.
هل يمكنني الاستفادة من الخدمة إذا كنت أعاني من حساسية معينة؟,نعم، يجب عليك إبلاغ الطبيب عن أي حساسية لديك قبل البدء في الاستشارة.
هل توفرون دعمًا نفسيًا للتعامل مع الأمراض المزمنة؟,نعم، يمكن لأخصائيي الرعاية النفسية تقديم الدعم اللازم للتعامل مع التحديات النفسية للأمراض المزمنة.
هل يمكنني الحصول على وصفة طبية للأطفال الرضع؟,نعم، يمكن لأطباء الأطفال وصف الأدوية للأطفال الرضع إذا رأوا ذلك ضرورياً.
هل توفرون خدمة إعادة صرف الدواء؟,نعم، يمكن إعادة صرف الدواء الموصوف سابقًا عبر الصيدلية الإلكترونية بعد موافقة الطبيب.
هل يمكنني تغيير خطة علاجي إذا لم أكن مرتاحاً لها؟,يجب مناقشة أي تغييرات في خطة العلاج مع الطبيب المعالج للحفاظ على سلامتك وفعالية العلاج.
هل لديكم سياسة خصوصية للبيانات المجمعة لأغراض البحث؟,نعم، يتم تجميع البيانات بشكل مجهول (لا يمكن ربطها بشخص محدد) لأغراض البحث والتحسين، وتتبع سياسة خصوصية صارمة.
هل يمكنني إرسال استفسارات عامة عبر البريد الإلكتروني؟,نعم، يمكنك إرسال أي استفسارات عامة إلى support@alshifa-care.com.
هل توفرون خدمات استشارية للطب البديل أو التكميلي؟,حالياً نركز على الطب التقليدي القائم على الأدلة، وقد نضيف تخصصات أخرى مستقبلاً.
هل يمكنني الحصول على استشارة بخصوص مشاكل النوم؟,نعم، يمكن لأطباء ومتخصصين في الرعاية النفسية تقديم استشارات حول اضطرابات النوم.
هل يمكنني الاشتراك في ورش عمل صحية عبر الإنترنت؟,قد ننظم ورش عمل صحية عبر الإنترنت من وقت لآخر، تابع إعلاناتنا.
هل الشفاء الرقمية تقدم خدمات تأهيل طبي؟,حالياً، لا نقدم خدمات التأهيل الطبي المباشر، ولكن يمكننا توجيهك للمتخصصين.
هل يمكنني الحصول على استشارة بخصوص لقاحات السفر؟,نعم، يمكن للطبيب تقديم مشورة حول لقاحات السفر المطلوبة لوجهات معينة.
هل لديكم نظام مكافآت للعملاء؟,نعمل على تطوير نظام مكافآت للعملاء، وسنعلن عنه عند إطلاقه.
هل يمكنني الحصول على استشارة لمشكلة صحية بسيطة مثل نزلات البرد؟,نعم، يمكن للطبيب العام تقديم استشارة وعلاج لمشكلات صحية بسيطة مثل نزلات البرد والإنفلونزا.
هل يمكنني الدفع عبر التحويل البنكي؟,الدفع الرئيسي عبر البطاقات والمحافظ الرقمية، يمكن التنسيق للتحويل البنكي لبعض الحالات الخاصة.
هل يمكنني طلب دواء معين غير متوفر في الصيدلية الإلكترونية؟,يمكنك الاستفسار من فريق الصيدلية عن إمكانية توفير دواء معين، وسنحاول مساعدتك.
هل توفرون خدمة ممرض منزلي عن بعد؟,لا نوفر خدمة ممرض منزلي عن بعد، خدماتنا تركز على الاستشارات الطبية.
هل يمكنني استخدام خدمة الشفاء الرقمية أثناء السفر خارج المملكة؟,يمكنك استخدام الخدمة من خارج المملكة، ولكن يجب أن تكون الخدمات متوافقة مع قوانين البلد الذي تتواجد فيه.
هل يمكنني الحصول على تقرير طبي مفصل لتأمين السفر؟,يعتمد ذلك على متطلبات شركة التأمين، ولكن يمكننا تزويدك بالتقارير المتاحة لدينا.
هل توفرون برامج متابعة للحوامل؟,نعم، يمكن لأطباء النساء والولادة تقديم متابعة للحمل عن بعد في بعض المراحل.
هل الشفاء الرقمية تقدم خدمات الطوارئ النفسية؟,لا، لا نقدم خدمات الطوارئ النفسية. في حالات الطوارئ النفسية يجب البحث عن مساعدة فورية.
هل يمكنني تغيير معلوماتي الشخصية في الحساب؟,نعم، يمكنك تحديث معلوماتك الشخصية من خلال إعدادات حسابك على المنصة.
هل يمكنني الحصول على استشارة لمرض نادر؟,نعم، لدينا أطباء متخصصون في مختلف التخصصات وقد يكون لديهم الخبرة في التعامل مع الأمراض النادرة.
هل توفرون خدمات الاستشارات الوراثية؟,حالياً لا نقدم استشارات وراثية متخصصة، ولكن يمكننا توجيهك إلى مختصين إذا لزم الأمر.
هل يمكنني الاحتفاظ بملف طبي للعائلة؟,نعم، يمكنك إدارة ملفات صحية منفصلة لأفراد عائلتك ضمن حسابك الواحد.
هل لديكم عروض خاصة في المناسبات الوطنية؟,نعم، قد نقدم عروضًا وخصومات خاصة خلال المناسبات والأعياد الوطنية.
هل يمكنني تقديم توصية لطبيب جديد للانضمام للمنصة؟,نعم، نرحب بالاقتراحات، ويمكنك تزويدنا بمعلومات الاتصال بالطبيب.
هل الشفاء الرقمية تدعم البحث العلمي؟,نعم، نلتزم بدعم البحث العلمي من خلال البيانات المجهولة والتعاون مع المؤسسات البحثية.
هل يمكنني الحصول على استشارة لتقييم الصحة العامة؟,نعم، يمكن لطبيب عام تقديم استشارة لتقييم صحتك العامة وتقديم نصائح وقائية.
هل يمكنني معرفة التخصص الدقيق للطبيب قبل الحجز؟,نعم، ملفات الأطباء تتضمن تفاصيل عن تخصصاتهم الدقيقة وخبراتهم.
هل يمكنني إلغاء الباقة بعد الاشتراك بها؟,يمكن إلغاء الباقة وفقًا لشروط الإلغاء المحددة لكل باقة، والتي قد تشمل رسوم إلغاء أو عدم استرداد المبلغ.
