Question,Answer
هل يمكنني حجز استشارة لأحد أفراد عائلتي؟,نعم، يمكنك حجز استشارة نيابة عن أحد أفراد عائلتك (مثل الأطفال أو كبار السن) مع مراعاة الحصول على موافقتهم الصريحة وتقديم معلوماتهم الطبية بدقة.
هل يمكنني استرداد المبلغ إذا لم أكن راضيًا عن الخدمة؟,نعم، يمكن طلب استرداد المبلغ خلال 24 ساعة من تقديم الخدمة أو عدم إتمامها، وذلك وفقًا لسياسة الاسترداد الخاصة بالشركة.
هل تشمل الاستشارات وصف الأدوية؟,نعم، إذا رأى الطبيب ضرورة طبية لذلك، يمكنه وصف الأدوية اللازمة خلال الاستشارة. يتم إرسال الوصفة إلكترونيًا ويمكن توصيلها إليك مباشرة عبر خدمة الصيدلية الإلكترونية.
هل توفرون فحصاً طبياً شاملاً عن بعد؟,لا يمكن إجراء فحص جسدي شامل عن بعد. ولكن، توفر الشركة خدمة الكشف الجسدي في عيادتها الخاصة في جميع التخصصات.
ما هو عنوان العيادة الخاصة بكم؟,عنوان العيادة هو: الرياض، حي الربيع، طريق الثمامة، المملكة العربية السعودية.
ما هي طرق الدفع المتاحة؟,نقبل الدفع عبر البطاقات البنكية (فيزا / ماستركارد / مدى) والمحافظ الرقمية (Apple Pay و STC Pay). كما يمكن الدفع عن طريق التحويل البنكي لبعض الخدمات أو الباقات الكبيرة.
هل تقدمون باقات اشتراك؟,نعم، نوفر خيارات اشتراك شهرية أو سنوية توفر خصومات إضافية ووصولاً غير محدود لبعض الخدمات.
ما هي خدمات الدعم الفني المتاحة؟,يتوفر الدعم الفني عبر الدردشة المباشرة (24/7) على الموقع الإلكتروني، والهاتف خلال ساعات العمل، والبريد الإلكتروني. كما يوجد قسم للمساعدة والأسئلة الشائعة.
هل يمكنكم توصيل الأدوية للمنزل؟,نعم، نوفر خدمة توصيل الأدوية والمستلزمات الطبية إلى باب المنزل بسرعة وأمان.
هل يمكنني مراجعة تقاريري الطبية ونتائج تحاليلي مع طبيب؟,نعم، تقدم الشركة خدمة مراجعة وتقييم للتقارير الطبية السابقة ونتائج التحاليل المخبرية من قبل أطباء متخصصين.
ما هي برامج الصحة الوقائية التي تقدمونها؟,تقدم الشركة استشارات حول الوقاية من الأمراض وتغيير نمط الحياة، بالإضافة إلى حملات توعية صحية دورية وبرامج مخصصة لمتابعة المؤشرات الحيوية.
هل تقدمون خدمات للشركات؟,نعم، نوفر حزم رعاية صحية رقمية للشركات والمؤسسات لرعاية موظفيهم، وبرامج صحية مخصصة لتعزيز رفاهية الموظفين.
كيف يمكنني الاشتراك في خدماتكم؟,يمكنك الاشتراك بزيارة الموقع الإلكتروني وإنشاء حساب، ثم اختيار الباقة المناسبة، وإدخال معلومات الدفع.
كيف يمكنني إلغاء الاشتراك؟,يمكن إلغاء الاشتراك عبر تسجيل الدخول إلى حسابك على الموقع ثم التوجه إلى "إدارة الاشتراكات". أو يمكنك التواصل مع فريق الدعم الفني للمساعدة في إتمام عملية الإلغاء.
هل توفرون خدمة السجلات الطبية الإلكترونية؟,نعم، لدينا نظام آمن لتخزين السجل الطبي الموحد للمريض، بما في ذلك التشخيصات، الأدوية الموصوفة، ونتائج الفحوصات.
ما هي أوقات عمل الشركة؟,أيام العمل من الأحد إلى الخميس، من 9 صباحًا حتى 9 مساءً بتوقيت المملكة العربية السعودية (EEST).
هل الشركة تعمل في العطلات الأسبوعية؟,لا، العطلات الأسبوعية هي الجمعة والسبت.
ما هي سياسة الخصوصية المتعلقة بجمع البيانات؟,يتم جمع البيانات الشخصية والمعلومات الصحية فقط لغرض تقديم الخدمات الطبية وتحسينها، وبموافقة صريحة من المستخدم.
هل تتم مشاركة بياناتي مع أطراف ثالثة؟,لا يتم مشاركة البيانات الشخصية أو الصحية مع أي طرف ثالث دون إذن مسبق وصريح من المستخدم، إلا في الحالات التي يتطلبها القانون أو بأمر قضائي.
هل يمكنني تعديل أو حذف بياناتي؟,نعم، يحق للمستخدم الوصول إلى بياناته الشخصية وتعديلها أو طلب حذفها في أي وقت.
ما هي الشروط التي تحكم استخدام خدمات الشركة؟,من الشروط الأساسية عدم استخدام الخدمة في حالات الطوارئ، وتقديم معلومات صحيحة وكاملة ودقيقة، وأن الشركة غير مسؤولة عن أي سوء استخدام للخدمة.
هل يمكن الحصول على استشارة بخصوص مشاكل الجهاز الهضمي؟,نعم، الشركة تقدم استشارات مع أطباء عامين ومتخصصين في مختلف التخصصات مثل الباطنية، والتي تشمل مشاكل الجهاز الهضمي.
هل يمكنني الحصول على استشارة بخصوص مشاكل العيون؟,نعم، من بين التخصصات التي يقدمها أطباؤنا هو تخصص العيون.
هل يمكنني الحصول على استشارة بخصوص مشاكل الأنف والأذن والحنجرة؟,نعم، توفر الشركة استشارات مع أطباء متخصصين في الأنف والأذن والحنجرة.
هل يمكنني الحصول على استشارة بخصوص الأمراض الجلدية؟,نعم، لدينا أطباء متخصصون في الأمراض الجلدية.
هل يمكنني الحصول على استشارة بخصوص صحة المرأة والولادة؟,نعم، نوفر استشارات مع أطباء نساء وولادة.
هل يمكنني طلب الأدوية التي لا تتطلب وصفة طبية؟,نعم، يمكنك طلب الأدوية التي لا تتطلب وصفة طبية مباشرة من الصيدلية الرقمية.
هل يوجد دعم للصحة النفسية؟,نعم، نوفر جلسات استشارية مع أخصائيين نفسيين ومعالجين سلوكيين لدعم الصحة النفسية.
هل يمكنني الحصول على دعم بخصوص التغذية واللياقة البدنية؟,نعم، تقدم الشركة استشارات في مجالات الصحة العامة، التغذية، واللياقة البدنية.
ما هو مبدأ تأسيس شركة الشفاء الرقمية؟,تأسست الشركة على مبدأ توفير رعاية طبية شاملة وعالية الجودة عبر الإنترنت.
ما هو هدف الشركة الأساسي؟,تهدف إلى سد الفجوة بين المرضى والأطباء المتخصصين، وتمكين الأفراد من الحصول على استشارات طبية موثوقة ومتابعة مستمرة.
كيف تضمنون جودة الرعاية الصحية؟,نضمن أن جميع خدماتنا الطبية تُقدم من قبل أطباء ومتخصصين مؤهلين تأهيلاً عاليًا ويتمتعون بخبرة واسعة في مجالاتهم.
ما هو الالتزام بالسرية والخصوصية؟,نلتزم بأقصى درجات السرية في التعامل مع بيانات المرضى ومعلوماتهم الصحية، ونطبق بروتوكولات أمان صارمة لضمان حمايتها.
ماذا يعني "التيسير والسرعة" كقيمة أساسية؟,يعني أن الشركة تهدف إلى جعل الرعاية الصحية سهلة ومتاحة للجميع، بغض النظر عن موقعهم الجغرافي، وتوفر حلولاً سريعة وفعالة للحصول على الاستشارات والمواعيد.
كيف تبني الشركة الثقة مع المرضى؟,تبني الشركة الثقة من خلال تقديم معلومات واضحة وصادقة حول خدماتها وتكاليفها، وتحرص على بناء علاقات طويلة الأمد قائمة على المصداقية والنزاهة.
ما هو دور الابتكار في الشركة؟,نتبنى أحدث التقنيات ونبحث دائمًا عن طرق جديدة ومبتكرة لتحسين خدماتنا وتوسيع نطاقها لمواكبة التطورات في مجال الرعاية الصحية الرقمية.
ماذا تشمل خدمة الاستشارات الطبية عبر الفيديو؟,تشمل استشارات فورية ومجدولة مع أطباء عامين ومتخصصين، وإمكانية التواصل الصوتي والمرئي الآمن والمشفر، وخاصية تبادل الملفات والصور.
هل يمكنني إجراء فحص جسدي في عيادتكم لجميع التخصصات؟,نعم، تقدم الشركة خدمات الكشف الجسدي في عيادتها الخاصة في جميع التخصصات.
هل هناك خدمة لمراجعة نتائج التحاليل المخبرية؟,نعم، نقدم خدمة مراجعة وتقييم لنتائج التحاليل المخبرية من قبل أطباء متخصصين لتقديم تفسير واضح وشامل.
ما هي وظيفة خدمة الصيدلة والتوصيل المنزلي؟,تشمل صرف الوصفات الطبية الإلكترونية وتوصيل الأدوية والمستلزمات الطبية إلى باب المنزل بسرعة وأمان.
كيف يمكنني حجز موعد مع طبيب متخصص؟,يمكنك استخدام منصة سهلة الاستخدام لحجز مواعيد مع مجموعة واسعة من الأطباء الاستشاريين.
ماذا تتضمن خدمة الرعاية النفسية؟,تتضمن جلسات استشارية مع أخصائيين نفسيين ومعالجين سلوكيين، وتقديم استشارات في مجالات الصحة العامة وإدارة الإجهاد.
ما هي فوائد نظام السجلات الطبية الإلكترونية الموحدة (EHR)؟,يخزن السجل الطبي للمريض بشكل آمن، ويمكّن الأطباء من الوصول إليه لتوفير رعاية أكثر دقة، ويقلل من الحاجة لتكرار الفحوصات.
ما هي برامج الطب عن بُعد التي تقدمونها للمؤسسات؟,نقدم حزم رعاية صحية رقمية للشركات لرعاية موظفيهم، وبرامج صحية مخصصة لتعزيز رفاهيتهم.
ما هو رقم هاتف الشركة؟,رقم هاتف الشركة هو 9200-000-000.
ما هو البريد الإلكتروني للدعم؟,البريد الإلكتروني للدعم هو support@alshifa-care.com.
هل يمكنني استخدام الدردشة المباشرة للدعم الفني؟,نعم، الدردشة المباشرة متاحة على مدار الساعة (24/7) على الموقع الإلكتروني لتقديم المساعدة الفورية.
ما هي المحافظ الرقمية التي تقبلونها للدفع؟,نقبل الدفع السريع والآمن عبر Apple Pay و STC Pay.
ماذا يحدث إذا قدمت معلومات طبية غير دقيقة؟,أي معلومات غير دقيقة قد تؤثر سلبًا على جودة الرعاية المقدمة، والشركة غير مسؤولة عن أي نتائج سلبية تنجم عن ذلك.
هل يمكنني استخدام محتوى الموقع لأغراض شخصية؟,جميع المحتويات والمواد على المنصة هي ملك للشركة، ويُمنع نسخها أو تعديلها أو إعادة نشرها دون إذن كتابي مسبق.
هل تحتفظ الشركة بالحق في تعديل شروط الاستخدام؟,نعم، تحتفظ الشركة بالحق في تعديل شروط الاستخدام في أي وقت دون إشعار مسبق.
بموجب أي قانون يتم تفسير شروط الاستخدام؟,تخضع شروط الاستخدام وتُفسر وفقًا لقوانين المملكة العربية السعودية.
كيف يتم إخطار المستخدمين بالتحديثات على سياسة الخصوصية؟,سيتم إخطار المستخدمين بأي تغييرات جوهرية في سياسة الخصوصية من خلال الموقع الإلكتروني أو البريد الإلكتروني.
هل يمكنني التحكم في إعدادات ملفات تعريف الارتباط؟,نعم، يمكن للمستخدمين التحكم في إعدادات ملفات تعريف الارتباط (Cookies) من خلال متصفحاتهم.
هل يمكنني حجز موعد مع أطباء في تخصصات نادرة؟,نعم، المنصة تمكّنك من حجز مواعيد مع مجموعة واسعة من الأطباء الاستشاريين في تخصصات نادرة أو دقيقة.
ما هو الغرض من استخدام البيانات المجمعة (التي لا تحدد هوية فردية)؟,قد تُستخدم البيانات المجمعة لأغراض البحث والإحصاءات لتحسين الخدمات الصحية بشكل عام.
هل يمكنني حجز موعد للحصول على استشارة مع طبيب عام؟,نعم، يمكنك حجز استشارات فورية ومجدولة مع أطباء عامين.
كيف يمكنني العثور على الأطباء المناسبين لي؟,يمكنك الاطلاع على الملفات الشخصية للأطباء، خبراتهم، وتقييمات المرضى الآخرين لاختيار الأنسب.
ما هي أنواع الخدمات التي يمكن أن أحصل عليها عبر الفيديو؟,يمكنك الحصول على استشارات فورية أو مجدولة مع أطباء عامين ومتخصصين، بالإضافة إلى جلسات متابعة مستمرة للحالات المزمنة.
هل يتم تشفير الاتصالات عبر الفيديو؟,نعم، يتم تشفير التواصل الصوتي والمرئي بشكل آمن ومشفر.
هل يمكن تبادل الملفات والصور خلال الاستشارة؟,نعم، تتوفر خاصية تبادل الملفات والصور لتحسين جودة التشخيص.
هل يمكنني حجز مواعيد للكشف الجسدي في العيادة؟,نعم، يمكنك حجز المواعيد المسبقة لضمان حصولك على الرعاية اللازمة في الوقت المناسب.
هل يمكنني الحصول على شرح مفصل لنتائج تحاليلي المخبرية؟,نعم، تقدم الشركة شرحًا مفصلاً لنتائج التحاليل المخبرية وربطها بالحالة الصحية العامة للمريض.
هل يمكنني الحصول على توصيات بناءً على نتائج تحاليلي؟,نعم، يتم تقديم توصيات بناءً على النتائج لمساعدة المرضى على فهم حالتهم الصحية بشكل أفضل.
ما هو هدف الشركة من برامج الصحة الوقائية؟,الهدف هو توعية صحية دورية حول الأمراض الشائعة وطرق الوقاية منها.
ماذا يحدث في حالة عدم اتباع إرشادات الطبيب؟,الشركة غير مسؤولة عن أي نتائج سلبية تنجم عن عدم اتباع إرشادات الطبيب.
هل يمكنني استخدام المنصة باللغة الإنجليزية؟,نعم، يمكن توفير استشارات باللغة الإنجليزية حسب توفر الأطباء المتحدثين بهذه اللغات.
ما هو هدف الشركة من بناء مجتمع صحي واعي؟,تطمح الشركة إلى بناء مجتمع صحي واعي، حيث تكون الوقاية والعلاج السريع جزءًا لا يتجزأ من الثقافة العامة.
ما هو الغرض من السجلات الطبية الإلكترونية الموحدة؟,يقلل النظام من الحاجة لتكرار الفحوصات ويسهل عملية المتابعة.
ما هي الالتزامات القانونية التي تتبعها الشركة في حماية البيانات؟,تلتزم الشركة بجميع اللوائح والقوانين المتعلقة بحماية البيانات الصحية، مثل قانون حماية البيانات العامة (GDPR) ومعايير HIPAA حيثما ينطبق ذلك.
ما هو التشفير المستخدم لحماية البيانات؟,يتم تشفير جميع الاتصالات والبيانات باستخدام أحدث بروتوكولات الأمان مثل AES-256 و TLS 1.2.
ما هي حقوق المستخدم بخصوص بياناته؟,يحق للمستخدم الوصول إلى بياناته الشخصية، وتعديلها، أو طلب حذفها في أي وقت.
هل يمكن للمستخدم سحب موافقته على معالجة البيانات؟,نعم، يحق للمستخدم سحب موافقته على معالجة البيانات، شريطة ألا يتعارض ذلك مع الالتزامات القانونية.
هل يمكنني استخدام خدمات الشركة في عطلة رسمية؟,قد تكون الشركة مغلقة خلال الأعياد الرسمية في المملكة العربية السعودية، ولكن قد تتوفر بعض خدمات الدعم الفني أو الدردشة المباشرة.
كيف يمكنني معرفة التغييرات في أوقات العمل خلال العطلات؟,سيتم الإعلان عن أي تغييرات في أوقات العمل خلال العطلات مسبقًا عبر الموقع ووسائل التواصل الاجتماعي.
ماذا يحدث بعد إتمام عملية الاشتراك؟,ستتلقى تأكيدًا عبر البريد الإلكتروني، ويمكنك البدء في حجز المواعيد والاستفادة من الخدمات.
هل هناك سياسات مختلفة للإلغاء حسب نوع الاشتراك؟,نعم، يرجى مراجعة شروط الاشتراك في كل باقة، حيث قد تختلف سياسات الإلغاء والاسترداد بناءً على نوع الخدمة أو مدة الاشتراك.
ما هو الغرض من استخدام ملفات تعريف الارتباط (Cookies)؟,نستخدم ملفات تعريف الارتباط لتحسين تجربة التصفح، تحليل أداء الموقع، وتخصيص المحتوى.
هل يمكنني الحصول على توصيات بخصوص نمط الحياة لتعزيز الصحة العامة؟,نعم، تقدم الشركة استشارات حول الوقاية من الأمراض وتغيير نمط الحياة لتعزيز الصحة العامة.
هل يمكنني الحصول على دعم لبرامج إدارة الإجهاد؟,نعم، نوفر استشارات في مجالات الصحة العامة وإدارة الإجهاد.
ما هو عنوان الموقع الإلكتروني للشركة؟,الموقع الإلكتروني هو [www.alshifa-care.com](https://www.google.com/search?q=https://www.alshifa-care.com).
ما هي وسائل التواصل الاجتماعي الخاصة بالشركة؟,يمكن التواصل مع الشركة عبر تويتر (X)، لينكد إن، فيسبوك، وإنستغرام.
هل يمكنني تقديم ملاحظاتي أو مشاكل عبر البريد الإلكتروني؟,نعم، يمكنك إرسال استفساراتكم أو مشاكلكم عبر البريد الإلكتروني، وسيقوم فريق الدعم بالرد في أقرب وقت.
ما هي أنواع الباقات والعضويات التي تقدمونها؟,تقدم الشركة خيارات اشتراك شهرية أو سنوية توفر خصومات إضافية ووصولاً غير محدود لبعض الخدمات.
هل يمكنني الحصول على مساعدة فورية للدعم الفني؟,نعم، الدردشة المباشرة متوفرة على مدار الساعة (24/7) لتقديم المساعدة الفورية.
ما هي الميزات المتاحة عند حجز موعد مع طبيب متخصص؟,يمكنك الاطلاع على الملفات الشخصية للأطباء، خبراتهم، وتقييمات المرضى الآخرين.
ما هو الهدف من السجلات الطبية الإلكترونية الموحدة؟,يُمكّن السجل الأطباء من الوصول إلى السجل الطبي للمريض (بموافقته) لتوفير رعاية أكثر دقة وشمولية.
هل يمكن للمستخدمين الحصول على دليل شامل للأسئلة الشائعة؟,نعم، يتوفر على الموقع قسم للمساعدة والأسئلة الشائعة يحتوي على إجابات لمعظم الاستفسارات.
ما هو الغرض من تأسيس شركة الشفاء الرقمية؟,الغرض هو سد الفجوة بين المرضى والأطباء المتخصصين، وتمكين الأفراد من الحصول على استشارات طبية موثوقة ومتابعة مستمرة.
ماذا تعني كلمة "التعاطف والرعاية" كقيمة أساسية للشركة؟,تعني أن الشركة تتعامل مع كل مريض كفرد فريد وتقدم الرعاية بتعاطف وتفهم، مع الحرص على توفير بيئة داعمة ومريحة.
هل يمكنني الحصول على استشارة طبية بخصوص الأطفال؟,نعم، لدينا أطباء متخصصون في تخصص الأطفال.
ما هي المدة التي يمكنني خلالها طلب استرداد المبلغ؟,يمكن طلب استرداد المبلغ خلال 24 ساعة من تقديم الخدمة أو عدم إتمامها.
هل هناك خصومات عند الاشتراك في باقات طويلة الأمد؟,نعم، خيارات الاشتراك الشهرية أو السنوية توفر خصومات إضافية.
هل يمكنني الحصول على وصفة طبية إلكترونية؟,نعم، يمكن إرسال الوصفة إلكترونيًا إذا رأى الطبيب ضرورة لذلك.
ما هي المسؤولية الملقاة على عاتق المستخدم؟,يجب على المستخدم تقديم معلومات طبية وشخصية صحيحة وكاملة ودقيقة أثناء التسجيل وخلال الاستشارات.
ما هي الخدمات التي تقدمونها للمتابعة بعد العمليات الجراحية؟,نوفر جلسات متابعة مستمرة للحالات بعد العمليات الجراحية.
هل يتم تقييم أداء الأطباء؟,نعم، يتم تقييم أداء الأطباء بانتظام بناءً على معايير الجودة ورضا المرضى.
ما هو التزام الشركة تجاه التكنولوجيا؟,تلتزم الشركة بتسخير أحدث التكنولوجيا الرقمية لبناء جسر فعال بين المرضى والخبراء الطبيين.
ما هي الفائدة من نظام السجلات الطبية الإلكترونية للمرضى؟,يمكّن النظام المريض من الوصول إلى سجله الطبي.
كيف يمكنني التواصل مع الدعم الفني عبر الهاتف؟,يتوفر فريق دعم مخصص جاهز للإجابة على الاستفسارات التقنية والخدمية خلال ساعات العمل الرسمية.
هل يمكنني حجز موعد مع أخصائي نفسي؟,نعم، نوفر جلسات استشارية مع أخصائيين نفسيين ومعالجين سلوكيين.
ما هو الهدف من خدمة تحليل نتائج المختبر؟,الهدف هو توجيه المريض إلى التحاليل اللازمة بناءً على الأعراض أو التاريخ المرضي.
هل يمكنني طلب الأدوية بدون وصفة من الصيدلية الرقمية؟,نعم، يمكنك طلب الأدوية التي لا تتطلب وصفة طبية مباشرة من الصيدلية الرقمية.
هل يمكنني حجز استشارة لأحد كبار السن من عائلتي؟,نعم، يمكنك حجز استشارة نيابة عن أحد كبار السن مع مراعاة الحصول على موافقته.
ما هي فوائد برامج الصحة الوقائية للموظفين؟,البرامج الصحية المخصصة للشركات تهدف إلى تعزيز رفاهية الموظفين وتقليل التغيب عن العمل.
هل هناك أي محتوى على المنصة محمي بحقوق الملكية الفكرية؟,نعم، جميع المحتويات والمواد المتوفرة على المنصة هي ملك لشركة الشفاء الرقمية ومحمية بموجب قوانين الملكية الفكرية.
ما هو الدور الأساسي لشركة الشفاء الرقمية؟,دورها هو أن تكون شركة رائدة ومتطورة في مجال الرعاية الصحية عن بُعد.
هل يمكنني الحصول على استشارات بخصوص الأمراض المزمنة؟,نعم، نوفر جلسات متابعة مستمرة للحالات المزمنة.
كيف يمكنني العثور على معلومات حول خبرات الأطباء؟,يمكنك الاطلاع على الملفات الشخصية للأطباء، والتي تتضمن خبراتهم.
هل يتم تحديث سياسة الخصوصية؟,نعم، قد يتم تحديث سياسة الخصوصية من وقت لآخر، وسيتم إخطار المستخدمين بأي تغييرات جوهرية.
ما هي الإجراءات الأمنية المطبقة على خوادم وقواعد بيانات الشركة؟,يتم تطبيق إجراءات أمنية صارمة على الخوادم وقواعد البيانات لمنع الوصول غير المصرح به.
هل يمكنني الحصول على دعم فني خارج ساعات العمل الرسمية؟,قد تتوفر بعض خدمات الدعم الفني أو الدردشة المباشرة خارج ساعات العمل المحددة.
ما هو دور "الشفافية" كقيمة أساسية؟,تعني بناء الثقة مع المرضى من خلال تقديم معلومات واضحة وصادقة حول الخدمات وتكاليفها، وضمان الحصول على رأي طبي دقيق وموثوق به.
ما هي التخصصات المتاحة للاستشارات الطبية عبر الفيديو؟,تشمل التخصصات الباطنية، الأطفال، الجلدية، النساء والولادة، العيون، والأنف والأذن والحنجرة.
كيف يمكنني حجز موعد للكشف الجسدي في عيادتكم؟,يمكنك حجز المواعيد المسبقة لضمان حصولك على الرعاية اللازمة في الوقت المناسب.
هل يمكنني الحصول على تقييم لنتائج صور الأشعة؟,نعم، تقدم الشركة خدمة مراجعة وتقييم لصور الأشعة من قبل أطباء متخصصين.
هل يمكنني طلب توصيل أدوية لا تتطلب وصفة طبية؟,نعم، يمكنك طلب الأدوية التي لا تتطلب وصفة طبية مباشرة من الصيدلية الرقمية.
ما هو الغرض من نظام السجلات الطبية الإلكترونية الموحدة؟,يهدف إلى توفير رعاية أكثر دقة وشمولية عن طريق تمكين الأطباء من الوصول إلى السجل الطبي للمريض.
هل يمكن أن تساعدوني في فهم حالتي الصحية بشكل أفضل بناءً على نتائج التحاليل؟,نعم، يتم تقديم توصيات بناءً على النتائج ومساعدة المرضى على فهم حالتهم الصحية بشكل أفضل.
هل يمكنني الحصول على دعم بخصوص مؤشراتي الحيوية؟,نعم، نوفر برامج مخصصة لمتابعة المؤشرات الحيوية (مثل ضغط الدم، السكري) للأشخاص المعرضين للخطر.
ما هي الفائدة من حجز مواعيد مع متخصصين عبر المنصة؟,تمكنك المنصة من الاطلاع على الملفات الشخصية للأطباء، خبراتهم، وتقييمات المرضى الآخرين لاختيار الأنسب.
ماذا يحدث إذا كان هناك نزاع قضائي؟,في حالة وجود أي نزاعات، يكون الاختصاص القضائي للمحاكم المختصة في المملكة العربية السعودية.
هل يمكنني استخدام الدردشة المباشرة لطرح أسئلة حول خدمات الشركة؟,نعم، الدردشة المباشرة متاحة لتقديم المساعدة الفورية والإجابة على الاستفسارات.
هل يمكنني الحصول على دعم لبرامج التغذية؟,نعم، نقدم استشارات في مجالات الصحة العامة والتغذية.
ما هو التزام الشركة تجاه جودة الحياة؟,تهدف الشركة إلى إحداث فرق حقيقي وملموس في جودة حياة الأفراد والمجتمعات.
ما هي أنواع البطاقات البنكية التي تقبلونها للدفع؟,نقبل جميع البطاقات الائتمانية والخصم المباشر الرئيسية (فيزا / ماستركارد / مدى).
هل يمكنني الحصول على استشارة بخصوص الحالات المزمنة؟,نعم، نوفر جلسات متابعة مستمرة للحالات المزمنة.
ما هي طرق التواصل الأخرى المتاحة غير الهاتف والبريد الإلكتروني؟,يمكن التواصل عبر الموقع الإلكتروني ووسائل التواصل الاجتماعي مثل تويتر، لينكد إن، وفيسبوك.
ما هو هدف الشركة في مجال الرعاية الصحية؟,الهدف هو جعل الرعاية الصحية في متناول الجميع، وتقديم حلول مبتكرة تسهل وصول المرضى للخدمات التي يحتاجونها دون عناء.
هل يمكنني حجز استشارة لأطفالي؟,نعم، يمكنك حجز استشارة نيابة عن أطفالك.
ما هو نطاق عمل الشركة؟,نطاق العمل يشمل الرعاية الصحية عن بُعد.
كيف يمكنني التأكد من أن الأطباء مؤهلون؟,جميع الأطباء يخضعون لعملية تدقيق صارمة لضمان أعلى مستويات الكفاءة والاحترافية.
هل يمكنني الحصول على استشارة بخصوص مشاكل الباطنية؟,نعم، لدينا أطباء باطنية متخصصون.
ما هي الخيارات المتاحة لطلب الأدوية؟,يمكنك الحصول على الوصفات الطبية الإلكترونية وتوصيل الأدوية للمنزل.
هل يمكنني الحصول على دعم بخصوص الصحة العامة؟,نعم، نقدم استشارات في مجالات الصحة العامة.
كيف يتم حماية معلوماتي الشخصية والطبية؟,تستخدم الشركة تقنيات التشفير المتقدمة لحماية جميع الاتصالات والبيانات المخزنة.
هل يمكنني معرفة تقييمات المرضى الآخرين للأطباء؟,نعم، يمكنك الاطلاع على تقييمات المرضى الآخرين عند اختيار الطبيب.
هل يمكنني طلب الدعم الفني عن طريق الهاتف؟,نعم، يتوفر فريق دعم مخصص عبر الهاتف خلال ساعات العمل الرسمية.
هل يمكنني حجز موعد مع أخصائي في اللياقة البدنية؟,نعم، نقدم استشارات في مجالات اللياقة البدنية.
ما هو هدف الشركة في بناء جسر فعال بين المرضى والخبراء؟,الهدف هو تقديم خدمات طبية موثوقة وآمنة وسهلة الوصول لجميع أفراد المجتمع.
هل يمكنني الحصول على توصيات بناءً على التحاليل المخبرية؟,نعم، يتم تقديم توصيات بناءً على النتائج ومساعدة المرضى على فهم حالتهم الصحية.
هل يمكنني الحصول على استشارة بخصوص برامج دعم شاملة للحالات المزمنة؟,نعم، نوفر برامج دعم شاملة للمرضى الذين يعانون من حالات صحية مزمنة.
هل يمكنني الوصول إلى سجلاتي الطبية من أي مكان؟,نعم، يوفر النظام السجل الطبي الإلكتروني الموحد الذي يمكن الوصول إليه (بموافقتك).
هل هناك أي برامج توعية صحية تقدمونها؟,نعم، نوفر حملات توعية صحية دورية عبر المنصة حول الأمراض الشائعة وطرق الوقاية منها.
ما هي أنواع الاستشارات التي تقدمونها للأطباء العامين؟,نقدم استشارات فورية ومجدولة مع أطباء عامين.
